configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-20.cfg,0.0,56.0,39.699933333333334,39.699933333333334,0.0,39.699933333333334,39.699933333333334,39.699933333333334,39.699933333333334
pb-178-tdd-low-latency-no-rx-to-tx-lat.cfg,0.0,56.0,121.21203333333332,121.21203333333332,0.0,121.21203333333332,121.21203333333332,121.21203333333332,121.21203333333332
pb-178-tdd-low-latency-prach-160.cfg,0.0,56.0,130.7012,130.7012,0.0,130.7012,130.7012,130.7012,130.7012
pb-178-tdd-low-latency-rx-to-tx-lat-1.cfg,0.0,56.0,124.5948,124.5948,0.0,124.5948,124.5948,124.5948,124.5948
pb-178-tdd-low-latency-rx-to-tx-lat-2.cfg,0.0,56.0,129.92683333333332,129.92683333333332,0.0,129.92683333333332,129.92683333333332,129.92683333333332,129.92683333333332
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0.0,56.0,130.79346666666666,130.79346666666666,0.0,130.79346666666666,130.79346666666666,130.79346666666666,130.79346666666666
pb-178-tdd-low-latency-sr-per-1.cfg,0.0,56.0,132.7227,132.7227,0.0,132.7227,132.7227,132.7227,132.7227
pb-178-tdd-low-latency.cfg,0.0,56.0,124.7293,124.7293,0.0,124.7293,124.7293,124.7293,124.7293
pb-178-ul-highTp-autoCSI-TRSonSSB-20.cfg,0.0,56.0,65.9226,65.9226,0.0,65.9226,65.9226,65.9226,65.9226
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0.0,56.0,227.9356,227.9356,0.0,227.9356,227.9356,227.9356,227.9356
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0.0,56.0,218.7929333333333,218.7929333333333,0.0,218.7929333333333,218.7929333333333,218.7929333333333,218.7929333333333
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1.cfg,0.0,56.0,201.58370000000002,201.58370000000002,0.0,201.58370000000002,201.58370000000002,201.58370000000002,201.58370000000002
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0.0,56.0,231.4114,231.4114,0.0,231.4114,231.4114,231.4114,231.4114
pb-178-ul-highTp-autoCSI-noTRS-20.cfg,0.0,56.0,65.88373333333332,65.88373333333332,0.0,65.88373333333332,65.88373333333332,65.88373333333332,65.88373333333332
pb-178-ul-highTp-autoCSI-noTRS-prach-128.cfg,0.0,56.0,215.81276666666665,215.81276666666665,0.0,215.81276666666665,215.81276666666665,215.81276666666665,215.81276666666665
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0.0,56.0,218.84553333333332,218.84553333333332,0.0,218.84553333333332,218.84553333333332,218.84553333333332,218.84553333333332
pb-178-ul-highTp-autoCSI-noTRS.cfg,0.0,56.0,220.2448666666667,220.2448666666667,0.0,220.2448666666667,220.2448666666667,220.2448666666667,220.2448666666667
pb-178-ul-highTp-defCSI-20.cfg,0.0,56.0,51.83893333333333,51.83893333333333,0.0,51.83893333333333,51.83893333333333,51.83893333333333,51.83893333333333
pb-178-ul-highTp-defCSI-no-trs.cfg,0.0,56.0,161.3725,161.3725,0.0,161.3725,161.3725,161.3725,161.3725
pb-178-ul-highTp-defCSI-prach-128.cfg,0.0,56.0,167.42326666666668,167.42326666666668,0.0,167.42326666666668,167.42326666666668,167.42326666666668,167.42326666666668
pb-178-ul-highTp-defCSI-rx-to-tx-lat-2.cfg,0.0,56.0,166.45853333333335,166.45853333333335,0.0,166.45853333333335,166.45853333333335,166.45853333333335,166.45853333333335
pb-178-ul-highTp-defCSI-rx-to-tx-lat-4.cfg,0.0,56.0,168.57683333333335,168.57683333333335,0.0,168.57683333333335,168.57683333333335,168.57683333333335,168.57683333333335
pb-178-ul-highTp-defCSI-sr-per-1.cfg,0.0,56.0,164.68183333333334,164.68183333333334,0.0,164.68183333333334,164.68183333333334,164.68183333333334,164.68183333333334
pb-178-ul-highTp-defCSI.cfg,0.0,56.0,169.55033333333333,169.55033333333333,0.0,169.55033333333333,169.55033333333333,169.55033333333333,169.55033333333333
