configuration,attenuation (dB),packet size (B),mean (ms),median (ms),std (ms),min (ms),max (ms),q1 (ms),q3 (ms)
pb-178-tdd-low-latency-rx-to-tx-lat-1.cfg,0,56,11.301,11.31,0.393,10.594,12.68,11.08,11.519
pb-178-tdd-low-latency-rx-to-tx-lat-2.cfg,0,56,10.865,10.899,0.292,10.043,11.426,10.653,11.078
pb-178-tdd-low-latency.cfg,0,56,11.258,11.284,0.258,10.696,11.823,11.13,11.385
pb-178-ul-highTp-defCSI-sr-per-1.cfg,0,56,21.882,21.687,0.701,20.353,23.28,21.369,22.392
pb-178-ul-highTp-defCSI-prach-128.cfg,0,56,28.882,29.124,1.998,23.736,31.978,28.353,30.16
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,56,11.0,11.145,0.553,10.178,12.039,10.416,11.455
pb-178-tdd-low-latency-sr-per-1.cfg,0,56,11.322,11.336,0.291,10.759,11.825,11.131,11.482
pb-178-ul-highTp-defCSI-no-trs.cfg,0,56,30.076,30.014,1.362,27.18,32.995,29.116,31.199
pb-178-tdd-low-latency-prach-160.cfg,0,56,11.094,11.086,0.343,10.45,12.25,10.91,11.288
pb-178-ul-highTp-autoCSI-noTRS-prach-128.cfg,0,56,30.768,30.554,1.629,27.794,33.701,29.696,32.023
pb-178-ul-highTp-autoCSI-noTRS.cfg,0,56,30.952,31.117,2.172,26.883,36.502,28.897,32.391
pb-178-ul-highTp-autoCSI-TRSonSSB-20.cfg,0,56,31.642,32.282,2.145,27.371,35.084,29.882,33.598
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,31.099,31.272,1.806,27.687,33.852,29.622,32.713
pb-178-tdd-low-latency-no-rx-to-tx-lat.cfg,0,56,13.453,13.558,0.543,12.518,14.25,12.854,13.83
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1.cfg,0,56,24.467,24.633,0.994,19.475,25.714,24.51,24.76
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,56,23.153,24.266,2.422,17.898,27.1,21.647,24.742
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,56,31.411,32.332,1.818,27.931,33.798,29.912,32.945
pb-178-ul-highTp-defCSI-rx-to-tx-lat-4.cfg,0,56,24.856,24.834,1.067,22.716,26.522,24.05,25.722
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,56,24.798,24.725,0.236,24.476,25.464,24.616,24.96
pb-178-tdd-low-latency-20.cfg,0,56,11.085,11.156,0.332,10.452,11.71,10.817,11.33
pb-178-ul-highTp-defCSI-rx-to-tx-lat-2.cfg,0,56,23.171,23.134,0.738,21.088,24.429,22.612,23.773
pb-178-ul-highTp-defCSI-20.cfg,0,56,31.001,31.705,1.726,26.673,32.995,29.689,32.392
pb-178-ul-highTp-autoCSI-noTRS-20.cfg,0,56,29.913,29.324,1.304,27.878,32.282,29.036,30.998
pb-178-ul-highTp-defCSI.cfg,0,56,30.013,29.99,1.484,26.827,33.311,29.011,31.164
