configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-20.cfg,0,56,39.7,39.671,0.068,39.584,39.823,39.645,39.764
pb-178-tdd-low-latency-no-rx-to-tx-lat.cfg,0,56,121.212,123.878,8.801,96.285,133.116,118.232,125.867
pb-178-tdd-low-latency-prach-160.cfg,0,56,130.701,131.572,6.658,119.222,139.756,126.01,136.46
pb-178-tdd-low-latency-rx-to-tx-lat-1.cfg,0,56,124.595,124.684,7.007,98.939,133.447,122.956,129.215
pb-178-tdd-low-latency-rx-to-tx-lat-2.cfg,0,56,129.927,129.27,5.28,119.981,138.3,125.537,134.644
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,56,130.793,131.538,5.382,118.793,138.757,126.283,134.892
pb-178-tdd-low-latency-sr-per-1.cfg,0,56,132.723,134.058,4.395,118.187,138.112,132.503,135.387
pb-178-tdd-low-latency.cfg,0,56,124.729,126.572,7.462,104.926,135.95,119.972,128.638
pb-178-ul-highTp-autoCSI-TRSonSSB-20.cfg,0,56,65.923,66.032,0.308,64.971,66.202,65.878,66.111
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,227.936,225.184,8.28,207.887,242.715,222.974,233.942
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,56,218.793,217.2,16.345,198.983,249.606,204.099,230.605
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1.cfg,0,56,201.584,195.546,13.912,186.655,239.048,190.479,213.577
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,56,231.411,240.674,13.302,206.177,244.571,224.819,241.154
pb-178-ul-highTp-autoCSI-noTRS-20.cfg,0,56,65.884,65.988,0.337,64.792,66.171,65.918,66.059
pb-178-ul-highTp-autoCSI-noTRS-prach-128.cfg,0,56,215.813,215.516,8.342,196.717,231.447,211.88,220.534
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,56,218.846,222.849,24.617,167.205,242.894,211.017,240.951
pb-178-ul-highTp-autoCSI-noTRS.cfg,0,56,220.245,219.522,8.779,201.713,235.485,217.537,225.684
pb-178-ul-highTp-defCSI-20.cfg,0,56,51.839,51.848,0.191,51.396,52.153,51.712,51.994
pb-178-ul-highTp-defCSI-no-trs.cfg,0,56,161.372,160.699,10.001,149.207,181.54,154.443,165.485
pb-178-ul-highTp-defCSI-prach-128.cfg,0,56,167.423,163.025,12.308,146.338,190.485,159.86,174.914
pb-178-ul-highTp-defCSI-rx-to-tx-lat-2.cfg,0,56,166.459,166.276,17.154,135.496,192.815,150.026,181.67
pb-178-ul-highTp-defCSI-rx-to-tx-lat-4.cfg,0,56,168.577,166.532,11.214,151.078,187.036,160.877,179.745
pb-178-ul-highTp-defCSI-sr-per-1.cfg,0,56,164.682,164.582,11.239,147.038,184.864,155.953,173.914
pb-178-ul-highTp-defCSI.cfg,0,56,169.55,169.06,12.017,149.352,186.876,163.368,179.448
