configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,207.887,207.887,0.0,207.887,207.887,207.887,207.887
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,221.916,221.916,0.0,221.916,221.916,221.916,221.916
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,222.609,222.609,0.0,222.609,222.609,222.609,222.609
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,223.779,223.779,0.0,223.779,223.779,223.779,223.779
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,223.533,223.533,0.0,223.533,223.533,223.533,223.533
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,223.468,223.468,0.0,223.468,223.468,223.468,223.468
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,223.13,223.13,0.0,223.13,223.13,223.13,223.13
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,227.015,227.015,0.0,227.015,227.015,227.015,227.015
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,228.688,228.688,0.0,228.688,228.688,228.688,228.688
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,230.387,230.387,0.0,230.387,230.387,230.387,230.387
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,227.664,227.664,0.0,227.664,227.664,227.664,227.664
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,240.583,240.583,0.0,240.583,240.583,240.583,240.583
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,234.748,234.748,0.0,234.748,234.748,234.748,234.748
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,236.884,236.884,0.0,236.884,236.884,236.884,236.884
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,241.207,241.207,0.0,241.207,241.207,241.207,241.207
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,240.944,240.944,0.0,240.944,240.944,240.944,240.944
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,222.922,222.922,0.0,222.922,222.922,222.922,222.922
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,217.427,217.427,0.0,217.427,217.427,217.427,217.427
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,220.563,220.563,0.0,220.563,220.563,220.563,220.563
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,223.134,223.134,0.0,223.134,223.134,223.134,223.134
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,220.843,220.843,0.0,220.843,220.843,220.843,220.843
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,223.386,223.386,0.0,223.386,223.386,223.386,223.386
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,223.673,223.673,0.0,223.673,223.673,223.673,223.673
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,226.59,226.59,0.0,226.59,226.59,226.59,226.59
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,222.844,222.844,0.0,222.844,222.844,222.844,222.844
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,233.771,233.771,0.0,233.771,233.771,233.771,233.771
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,233.999,233.999,0.0,233.999,233.999,233.999,233.999
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,230.53,230.53,0.0,230.53,230.53,230.53,230.53
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,242.715,242.715,0.0,242.715,242.715,242.715,242.715
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,241.229,241.229,0.0,241.229,241.229,241.229,241.229
