configuration,attenuation (dB),packet size (B),mean,median,std,min,max,q1,q3
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,16,23.239,23.1,2.315,14.2,27.0,21.1,25.5
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,512,22.566,22.1,2.353,14.5,27.0,21.0,24.7
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,1436,22.79,23.0,1.937,14.55,27.0,21.1,24.0
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,16,21.327,21.0,1.152,13.2,24.1,21.0,21.3
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,512,21.583,21.2,1.221,13.05,25.3,21.1,21.7
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,1436,21.561,22.55,2.476,12.7,24.1,21.1,23.0
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,16,16.768,18.0,2.278,9.0,22.5,16.0,18.1
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,512,17.2,18.0,1.598,9.25,22.7,16.625,18.1
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,1436,17.066,18.0,1.877,9.0,18.4,17.0,18.1
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,16,8.396,9.1,1.456,4.4,15.65,8.0,9.2
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,512,8.861,9.1,0.901,5.0,17.6,9.0,9.2
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,1436,8.462,9.1,1.319,4.2,9.6,8.9,9.2
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,23.129,22.2,2.569,13.85,27.0,21.2,25.8
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,22.026,22.1,1.607,14.1,25.5,21.0,22.6
pb-178-tdd-low-latency-sr-per-1.cfg,0,1436,22.0,21.5,1.883,14.3,26.5,21.0,22.9
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,23.41,23.7,1.075,13.95,25.5,23.4,24.0
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,21.249,21.4,2.38,14.0,24.65,20.6,23.3
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,21.841,21.8,1.415,14.05,24.1,21.1,22.8
pb-178-tdd-low-latency-sr-per-1.cfg,20,16,17.357,18.0,1.646,8.0,23.7,17.9,18.0
pb-178-tdd-low-latency-sr-per-1.cfg,20,512,16.745,17.0,1.449,10.0,22.35,16.0,18.0
pb-178-tdd-low-latency-sr-per-1.cfg,20,1436,17.188,18.0,1.574,9.1,18.4,17.0,18.2
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,8.398,9.0,1.173,4.75,17.4,8.0,9.1
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,7.791,9.0,2.054,3.95,9.9,6.0,9.2
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,7.284,8.0,1.891,4.2,10.0,5.0,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,21.282,20.6,2.228,13.7,26.3,20.0,21.2
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,512,22.467,22.6,2.426,13.95,26.75,20.4,24.6
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,1436,22.022,20.9,2.567,11.65,26.4,20.4,24.8
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,21.455,21.1,1.49,13.4,25.6,20.8,22.6
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,21.012,21.0,1.413,11.05,23.8,20.5,21.2
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,21.703,21.3,1.62,13.55,24.1,20.7,23.1
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,15.692,17.2,3.983,5.0,21.6,16.5,17.6
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,16.235,17.1,2.414,5.0,23.0,15.0,17.6
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,1436,15.968,17.1,3.006,5.0,18.3,16.2,17.4
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,8.549,9.0,1.533,4.35,20.0,9.0,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,8.681,9.0,0.917,4.0,10.0,9.0,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,8.779,8.9,0.572,5.0,10.0,8.7,9.0
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,16,21.34,21.0,2.041,13.1,27.0,20.1,22.4
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,512,21.892,21.1,2.315,12.0,26.8,20.6,24.3
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,1436,21.516,21.1,2.145,13.4,25.5,20.0,23.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,16,20.996,21.0,1.727,12.0,24.6,19.8,22.3
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,512,20.696,21.1,2.775,10.5,24.6,19.8,23.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,1436,20.461,20.6,1.802,11.4,24.1,19.8,21.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,16,16.139,17.1,2.863,5.0,22.3,16.0,17.8
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,512,16.164,17.2,2.52,9.2,18.2,16.1,17.8
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,1436,16.244,17.2,2.581,5.0,18.2,16.1,17.7
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,16,7.619,9.1,1.937,4.4,13.6,5.0,9.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,512,8.084,9.1,2.206,3.0,18.55,6.925,9.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,1436,8.475,9.1,1.028,5.5,9.4,7.0,9.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,21.689,21.0,2.463,13.5,26.8,20.2,24.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,21.61,21.0,1.919,13.9,25.6,20.5,22.8
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,22.097,21.0,2.624,13.85,26.7,20.0,25.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,21.141,21.0,1.488,13.5,25.2,20.5,21.3
