configuration,attenuation (dB),packet size (B),mean (ms),median (ms),std (ms),min (ms),max (ms),q1 (ms),q3 (ms)
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,16,119.805,149.247,63.539,22.328,195.364,59.862,174.314
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,512,135.914,176.293,68.636,22.589,200.068,47.984,184.652
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,1436,155.806,166.288,43.88,23.498,203.623,130.719,193.424
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,16,184.364,186.962,8.645,157.017,191.909,181.846,191.175
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,512,182.564,187.496,11.627,153.062,195.33,181.487,189.822
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,1436,191.946,182.269,29.492,161.21,290.725,178.591,198.534
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,16,239.39,220.52,32.028,202.367,339.923,217.856,253.067
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,512,231.813,219.387,25.553,211.798,312.765,217.752,233.455
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,1436,247.023,230.96,29.676,225.51,333.165,228.786,257.553
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,16,485.064,449.144,89.213,389.005,755.896,429.842,514.437
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,512,473.125,441.815,98.513,401.563,876.082,432.822,454.484
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,1436,535.662,472.308,161.39,429.701,1168.861,458.201,484.094
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,111.186,104.716,58.531,22.015,195.029,74.173,173.848
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,151.187,176.478,58.166,27.073,198.959,151.406,190.542
pb-178-tdd-low-latency-sr-per-1.cfg,0,1436,161.993,189.438,59.634,22.497,208.917,169.124,197.467
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,160.528,161.136,7.886,140.177,178.659,156.426,163.738
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,185.541,183.188,28.14,150.901,276.177,165.42,190.598
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,187.311,184.932,10.897,162.92,205.003,181.728,197.569
pb-178-tdd-low-latency-sr-per-1.cfg,20,16,230.585,220.854,26.362,210.866,338.103,219.716,225.394
pb-178-tdd-low-latency-sr-per-1.cfg,20,512,236.626,230.806,20.629,207.448,269.762,217.491,256.06
pb-178-tdd-low-latency-sr-per-1.cfg,20,1436,241.358,234.15,25.339,220.011,322.919,225.005,245.41
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,488.662,472.026,51.374,417.178,650.128,454.464,513.407
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,551.21,452.088,167.099,408.69,906.928,435.864,613.156
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,642.148,526.768,212.956,440.749,1366.803,483.93,786.227
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,98.502,93.382,20.83,69.239,151.872,84.755,109.709
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,512,106.443,106.594,20.739,60.974,145.095,94.687,120.538
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,1436,104.041,99.823,18.517,77.318,147.745,87.95,118.277
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,104.17,106.54,13.577,77.537,131.538,95.99,111.864
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,100.976,95.504,14.759,76.249,128.764,89.414,115.649
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,106.673,103.528,13.909,82.31,140.449,95.706,116.018
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,80.706,39.682,114.031,27.637,464.347,32.726,51.015
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,69.226,40.198,75.399,25.928,414.881,33.215,60.962
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,1436,71.459,28.422,104.037,24.781,458.421,26.453,52.144
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,309.179,290.612,49.327,279.209,457.283,288.389,294.969
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,295.516,287.222,32.348,276.494,455.227,284.248,288.36
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,307.461,306.329,12.298,284.831,357.141,302.15,310.576
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,16,99.379,101.936,16.015,61.633,135.796,89.348,108.338
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,512,101.602,103.744,17.252,71.283,131.851,87.38,110.3
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,1436,99.526,100.193,15.35,73.777,124.601,86.19,112.456
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,16,93.326,93.064,12.449,68.649,120.168,85.844,100.744
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,512,85.064,86.509,17.875,54.666,146.888,71.843,94.483
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,1436,85.521,85.138,12.193,64.611,109.983,77.231,93.632
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,16,53.491,43.021,39.502,26.982,199.913,33.319,52.819
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,512,64.197,39.433,60.233,24.454,252.778,34.968,47.235
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,1436,49.176,37.382,47.588,27.183,297.782,31.351,47.055
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,16,336.804,300.492,60.313,279.988,438.911,287.211,401.876
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,512,329.489,287.643,77.531,281.515,545.841,285.75,326.214
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,1436,317.055,301.398,32.584,286.858,380.538,294.237,329.708
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,109.291,110.104,12.671,84.46,131.815,101.522,117.515
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,113.856,112.12,12.675,93.081,142.322,106.435,122.682
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,114.245,113.11,18.336,81.221,156.634,102.158,124.869
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,111.596,109.666,10.016,96.852,135.301,103.855,117.996
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,109.224,109.79,12.27,84.76,129.836,100.446,118.21
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,115.483,115.845,20.451,52.225,148.813,105.259,131.107
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,43.151,38.104,14.4,27.649,92.736,33.062,49.561
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,54.969,36.747,47.706,26.038,248.52,30.785,48.768
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,41.304,37.667,15.001,27.62,106.987,32.808,44.063
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,309.208,291.068,28.825,280.414,390.904,287.322,335.661
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,334.461,298.468,71.28,275.922,570.705,285.512,349.53
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,401.221,367.967,114.856,289.894,711.948,301.014,474.619
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,16,75.37,73.742,8.78,58.664,96.247,69.248,82.409
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,512,73.258,78.209,17.499,32.729,110.246,71.579,81.603
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,1436,80.524,82.029,10.676,60.715,102.403,70.473,87.167
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,16,65.827,68.948,13.839,29.213,86.848,60.284,74.841
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,512,67.807,68.44,8.38,46.504,82.048,61.508,74.357
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,1436,67.35,68.455,10.078,50.152,86.302,58.481,75.395
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,16,53.781,43.01,32.035,28.218,193.804,37.369,56.814
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,512,43.364,40.394,14.868,25.995,89.459,33.952,46.088
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,1436,38.238,37.374,6.26,24.593,49.658,33.342,41.83
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,16,312.443,285.765,54.137,265.673,426.336,270.626,350.279
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,512,298.112,268.864,57.896,257.717,426.521,262.449,297.904
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,1436,305.253,285.734,43.205,273.986,448.03,281.791,302.605
