configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,16,115.548,116.314,7.371,100.43,124.473,111.591,123.38
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,512,111.913,111.48,8.853,99.616,124.572,104.497,121.877
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,1436,114.479,116.264,6.951,103.883,124.485,106.914,119.288
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,16,106.898,103.845,4.946,103.05,121.201,103.746,108.414
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,512,108.299,105.178,6.379,103.546,123.815,104.873,108.553
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,1436,109.306,113.542,12.343,72.25,123.356,105.194,115.503
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,16,84.659,90.558,8.853,58.747,91.696,80.262,91.037
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,512,86.681,90.915,7.761,64.814,91.644,85.51,91.018
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,1436,85.944,90.706,7.868,65.801,91.11,82.556,90.929
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,16,42.353,45.686,5.813,27.49,45.906,40.043,45.779
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,512,44.718,45.593,2.326,35.801,45.859,45.304,45.708
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,1436,43.058,45.369,5.561,23.721,45.967,44.894,45.629
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,114.068,114.836,7.389,100.038,124.541,108.234,117.907
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,111.388,111.845,8.332,99.928,125.211,103.903,115.156
