configuration,attenuation (dB),packet size (B),mean (dB),median (dB),std (dB),min (dB),max (dB),q1 (dB),q3 (dB)
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,16,25.055,25.0,3.03,15.65,33.0,22.5,27.5
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,512,24.827,24.0,3.402,15.4,35.6,22.3,26.75
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,1436,24.596,24.9,2.426,16.1,30.5,22.6,26.0
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,16,21.764,21.6,2.593,11.4,25.9,21.4,23.188
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,512,22.165,22.3,2.488,8.15,26.0,21.8,23.0
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,1436,23.465,24.0,2.394,16.2,27.8,22.212,25.2
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,16,18.607,19.0,1.748,12.4,25.4,18.8,19.2
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,512,18.528,19.0,1.693,11.55,24.65,18.8,19.1
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,1436,18.549,19.0,1.47,12.3,20.1,18.8,19.1
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,16,9.806,9.8,1.278,6.5,18.35,9.6,9.9
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,512,9.84,9.8,1.049,6.45,16.85,9.6,9.9
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,1436,9.663,9.7,0.589,6.2,12.05,9.6,9.9
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,24.87,24.1,3.302,14.95,32.5,22.5,27.9
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,24.497,23.9,3.684,13.35,32.9,22.1,26.3
pb-178-tdd-low-latency-sr-per-1.cfg,0,1436,23.916,23.5,3.452,13.65,33.4,21.6,25.6
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,24.433,25.35,2.349,14.7,30.4,24.2,25.6
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,24.156,25.2,2.569,15.25,28.0,22.5,25.7
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,22.969,23.25,2.534,12.8,28.0,21.7,24.6
pb-178-tdd-low-latency-sr-per-1.cfg,20,16,18.442,18.8,1.78,12.6,24.05,18.6,19.0
pb-178-tdd-low-latency-sr-per-1.cfg,20,512,18.449,18.8,1.626,12.4,24.65,18.6,19.0
pb-178-tdd-low-latency-sr-per-1.cfg,20,1436,18.418,18.8,1.458,12.55,20.4,18.7,19.0
pb-178-tdd-low-latency-sr-per-1.cfg,30,16,9.999,9.7,1.487,8.1,18.8,9.6,9.9
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,9.59,9.7,0.593,6.25,11.0,9.5,9.9
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,9.648,9.7,0.494,5.9,10.9,9.5,9.9
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,23.583,22.6,2.92,16.75,35.4,21.8,25.062
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,512,24.995,25.2,2.813,14.65,34.1,22.85,26.9
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,1436,24.53,23.3,3.169,12.45,35.2,22.2,27.375
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,24.008,24.3,2.719,13.8,32.3,22.9,25.5
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,23.406,23.9,2.708,11.85,32.3,21.9,24.9
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,24.195,24.6,3.06,14.05,34.7,22.9,25.6
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,19.251,19.0,2.579,10.1,31.0,18.8,19.2
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,18.92,18.9,2.49,10.8,31.2,18.7,19.2
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,1436,19.138,18.9,2.379,11.55,31.7,18.7,19.1
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,9.849,9.7,1.59,4.6,20.1,9.5,9.9
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,9.6,9.7,0.722,5.0,12.5,9.5,9.8
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,9.457,9.6,0.702,5.95,10.6,9.4,9.8
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,16,24.111,23.9,2.816,15.95,34.0,22.2,26.0
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,512,24.502,24.1,2.935,12.85,34.3,22.6,26.825
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,1436,25.372,24.8,3.937,16.75,35.6,22.0,28.0
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,16,23.108,23.3,3.109,10.65,34.6,21.5,25.3
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,512,24.085,24.7,3.228,10.25,35.7,22.7,25.7
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,10,1436,22.839,22.85,2.948,10.9,30.6,21.875,24.3
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,16,19.06,18.9,2.609,10.533,30.8,18.7,19.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,512,19.053,18.9,2.338,11.533,31.5,18.7,19.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,20,1436,18.703,18.9,2.342,12.0,29.4,18.7,19.1
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,16,9.678,9.8,0.56,6.35,12.15,9.6,9.9
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,512,9.815,9.7,1.582,5.45,21.867,9.6,9.9
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,30,1436,9.667,9.8,0.557,6.65,12.35,9.6,9.9
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,24.545,24.1,3.279,15.35,34.3,22.8,27.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,24.209,24.0,2.435,16.8,33.2,22.65,25.7
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,24.971,24.6,3.449,17.55,36.2,21.5,28.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,23.52,23.9,2.565,12.5,33.2,22.3,25.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,23.792,24.0,2.531,10.35,32.4,22.25,25.3
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,23.714,24.2,3.13,11.2,32.1,21.9,25.5
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,18.891,18.9,2.207,10.35,28.5,18.7,19.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,18.76,18.9,2.291,9.3,31.6,18.7,19.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,18.446,18.9,2.292,10.2,30.2,18.7,19.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,9.88,9.8,1.563,6.2,21.267,9.6,9.9
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,9.661,9.8,0.849,6.35,15.65,9.6,9.9
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,9.711,9.8,0.487,6.6,11.65,9.6,9.9
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,16,24.924,24.2,4.143,15.8,38.4,21.3,28.1
