configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,48.311,48.311,0.0,48.311,48.311,48.311,48.311
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,48.363,48.363,0.0,48.363,48.363,48.363,48.363
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,58.386,58.386,0.0,58.386,58.386,58.386,58.386
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,102.825,102.825,0.0,102.825,102.825,102.825,102.825
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,110.484,110.484,0.0,110.484,110.484,110.484,110.484
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,123.398,123.398,0.0,123.398,123.398,123.398,123.398
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,119.982,119.982,0.0,119.982,119.982,119.982,119.982
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,119.016,119.016,0.0,119.016,119.016,119.016,119.016
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,123.212,123.212,0.0,123.212,123.212,123.212,123.212
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,120.937,120.937,0.0,120.937,120.937,120.937,120.937
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,120.514,120.514,0.0,120.514,120.514,120.514,120.514
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,119.379,119.379,0.0,119.379,119.379,119.379,119.379
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,122.639,122.639,0.0,122.639,122.639,122.639,122.639
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,123.656,123.656,0.0,123.656,123.656,123.656,123.656
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,124.323,124.323,0.0,124.323,124.323,124.323,124.323
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,123.045,123.045,0.0,123.045,123.045,123.045,123.045
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,120.743,120.743,0.0,120.743,120.743,120.743,120.743
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,124.493,124.493,0.0,124.493,124.493,124.493,124.493
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,118.4,118.4,0.0,118.4,118.4,118.4,118.4
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,121.98,121.98,0.0,121.98,121.98,121.98,121.98
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,122.096,122.096,0.0,122.096,122.096,122.096,122.096
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,121.73,121.73,0.0,121.73,121.73,121.73,121.73
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,122.704,122.704,0.0,122.704,122.704,122.704,122.704
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,124.327,124.327,0.0,124.327,124.327,124.327,124.327
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,119.557,119.557,0.0,119.557,119.557,119.557,119.557
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,124.305,124.305,0.0,124.305,124.305,124.305,124.305
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,122.494,122.494,0.0,122.494,122.494,122.494,122.494
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,123.303,123.303,0.0,123.303,123.303,123.303,123.303
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,123.056,123.056,0.0,123.056,123.056,123.056,123.056
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,123.231,123.231,0.0,123.231,123.231,123.231,123.231
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,123.183,123.183,0.0,123.183,123.183,123.183,123.183
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,123.218,123.218,0.0,123.218,123.218,123.218,123.218
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,123.269,123.269,0.0,123.269,123.269,123.269,123.269
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,121.939,121.939,0.0,121.939,121.939,121.939,121.939
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,122.628,122.628,0.0,122.628,122.628,122.628,122.628
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,54.324,54.324,0.0,54.324,54.324,54.324,54.324
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,111.406,111.406,0.0,111.406,111.406,111.406,111.406
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,123.195,123.195,0.0,123.195,123.195,123.195,123.195
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,117.262,117.262,0.0,117.262,117.262,117.262,117.262
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,124.501,124.501,0.0,124.501,124.501,124.501,124.501
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,117.282,117.282,0.0,117.282,117.282,117.282,117.282
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,124.23,124.23,0.0,124.23,124.23,124.23,124.23
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,119.647,119.647,0.0,119.647,119.647,119.647,119.647
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,119.392,119.392,0.0,119.392,119.392,119.392,119.392
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,119.402,119.402,0.0,119.402,119.402,119.402,119.402
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,121.157,121.157,0.0,121.157,121.157,121.157,121.157
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,119.837,119.837,0.0,119.837,119.837,119.837,119.837
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,123.154,123.154,0.0,123.154,123.154,123.154,123.154
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,121.365,121.365,0.0,121.365,121.365,121.365,121.365
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,119.49,119.49,0.0,119.49,119.49,119.49,119.49
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,120.812,120.812,0.0,120.812,120.812,120.812,120.812
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,121.967,121.967,0.0,121.967,121.967,121.967,121.967
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,1436,120.859,120.859,0.0,120.859,120.859,120.859,120.859
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,122.764,122.764,0.0,122.764,122.764,122.764,122.764
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,122.056,122.056,0.0,122.056,122.056,122.056,122.056
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,123.205,123.205,0.0,123.205,123.205,123.205,123.205
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,124.499,124.499,0.0,124.499,124.499,124.499,124.499
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,123.208,123.208,0.0,123.208,123.208,123.208,123.208
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,1436,124.278,124.278,0.0,124.278,124.278,124.278,124.278
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,1436,124.457,124.457,0.0,124.457,124.457,124.457,124.457
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,124.346,124.346,0.0,124.346,124.346,124.346,124.346
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,122.014,122.014,0.0,122.014,122.014,122.014,122.014
