configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,109.015,109.015,0.0,109.015,109.015,109.015,109.015
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,104.992,104.992,0.0,104.992,104.992,104.992,104.992
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,106.891,106.891,0.0,106.891,106.891,106.891,106.891
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,103.1,103.1,0.0,103.1,103.1,103.1,103.1
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,105.127,105.127,0.0,105.127,105.127,105.127,105.127
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,103.539,103.539,0.0,103.539,103.539,103.539,103.539
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,105.16,105.16,0.0,105.16,105.16,105.16,105.16
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,109.769,109.769,0.0,109.769,109.769,109.769,109.769
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,109.044,109.044,0.0,109.044,109.044,109.044,109.044
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,111.1,111.1,0.0,111.1,111.1,111.1,111.1
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,108.762,108.762,0.0,108.762,108.762,108.762,108.762
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,109.584,109.584,0.0,109.584,109.584,109.584,109.584
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,110.503,110.503,0.0,110.503,110.503,110.503,110.503
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,111.294,111.294,0.0,111.294,111.294,111.294,111.294
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,119.437,119.437,0.0,119.437,119.437,119.437,119.437
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,123.277,123.277,0.0,123.277,123.277,123.277,123.277
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,101.776,101.776,0.0,101.776,101.776,101.776,101.776
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,103.836,103.836,0.0,103.836,103.836,103.836,103.836
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,104.133,104.133,0.0,104.133,104.133,104.133,104.133
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,105.231,105.231,0.0,105.231,105.231,105.231,105.231
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,105.341,105.341,0.0,105.341,105.341,105.341,105.341
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,114.949,114.949,0.0,114.949,114.949,114.949,114.949
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,108.281,108.281,0.0,108.281,108.281,108.281,108.281
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,110.172,110.172,0.0,110.172,110.172,110.172,110.172
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,104.992,104.992,0.0,104.992,104.992,104.992,104.992
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,114.307,114.307,0.0,114.307,114.307,114.307,114.307
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,101.369,101.369,0.0,101.369,101.369,101.369,101.369
