configuration,attenuation (dB),packet size (B),mean,median,std,min,max,q1,q3
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,21.871,20.9,2.596,14.0,26.95,20.2,25.1
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,512,21.643,21.1,1.766,14.5,26.1,20.9,22.9
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,1436,20.621,20.1,2.35,12.5,26.4,19.2,21.675
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,20.251,20.4,2.503,7.4,25.5,19.5,21.7
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,19.736,20.9,3.462,8.1,23.9,19.2,21.3
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,20.464,21.05,2.595,12.0,23.9,19.1,21.925
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,15.901,16.0,2.31,9.0,23.0,13.0,18.0
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,14.346,14.0,2.915,7.5,22.5,11.025,17.9
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,1436,16.874,17.7,1.973,9.0,18.1,17.3,17.9
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,7.308,8.9,2.124,3.0,17.0,5.0,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,8.332,9.0,1.654,4.55,17.6,8.8,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,7.383,9.0,2.059,3.0,15.5,5.0,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,22.501,22.3,2.575,13.55,26.1,20.3,25.4
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,21.168,21.0,1.619,13.3,26.4,20.5,21.3
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,21.344,21.0,1.438,14.5,25.8,20.8,21.3
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,21.114,21.1,1.324,13.65,24.5,20.9,21.2
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,20.831,21.0,1.897,12.25,24.0,19.1,22.3
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,20.792,21.0,1.802,13.25,24.0,19.1,22.1
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,17.58,18.0,1.238,10.4,22.9,17.8,18.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,17.596,18.0,1.31,10.8,23.0,17.8,18.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,17.009,18.0,3.017,5.0,18.1,17.9,18.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,7.803,9.0,1.825,3.6,18.35,6.0,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,7.985,9.0,1.809,3.1,17.5,6.0,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,7.482,9.0,2.11,3.05,9.4,5.0,9.0
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,16,21.048,20.9,1.793,14.35,25.0,20.1,22.4
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,512,21.312,21.1,2.303,13.65,26.6,19.7,22.1
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,1436,21.795,21.4,2.772,10.95,26.7,19.7,23.8
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,16,20.392,20.8,2.644,8.35,24.3,19.4,21.9
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,512,20.86,21.1,2.412,11.7,25.75,19.75,22.4
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,1436,21.553,21.2,2.657,12.45,25.5,20.5,23.9
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,16,8.276,9.55,2.66,3.8,18.5,5.75,10.5
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,512,7.188,6.8,2.509,3.7,18.7,5.0,10.5
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,1436,7.679,7.0,1.812,4.0,11.4,7.0,7.5
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,16,7.97,9.0,2.069,3.5,16.65,5.5,9.1
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,512,8.68,9.1,1.464,3.6,17.6,9.0,9.2
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,1436,8.67,9.1,1.25,4.45,9.6,9.1,9.2
