configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,125.016,125.016,0.0,125.016,125.016,125.016,125.016
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,154.701,154.701,0.0,154.701,154.701,154.701,154.701
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.832,165.832,0.0,165.832,165.832,165.832,165.832
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,159.322,159.322,0.0,159.322,159.322,159.322,159.322
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,159.426,159.426,0.0,159.426,159.426,159.426,159.426
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,163.547,163.547,0.0,163.547,163.547,163.547,163.547
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.6,165.6,0.0,165.6,165.6,165.6,165.6
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.709,165.709,0.0,165.709,165.709,165.709,165.709
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,161.096,161.096,0.0,161.096,161.096,161.096,161.096
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.663,165.663,0.0,165.663,165.663,165.663,165.663
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,163.894,163.894,0.0,163.894,163.894,163.894,163.894
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.613,165.613,0.0,165.613,165.613,165.613,165.613
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.582,165.582,0.0,165.582,165.582,165.582,165.582
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,163.822,163.822,0.0,163.822,163.822,163.822,163.822
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,163.062,163.062,0.0,163.062,163.062,163.062,163.062
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.535,165.535,0.0,165.535,165.535,165.535,165.535
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,111.704,111.704,0.0,111.704,111.704,111.704,111.704
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,164.474,164.474,0.0,164.474,164.474,164.474,164.474
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,144.151,144.151,0.0,144.151,144.151,144.151,144.151
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,163.836,163.836,0.0,163.836,163.836,163.836,163.836
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,156.839,156.839,0.0,156.839,156.839,156.839,156.839
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.207,165.207,0.0,165.207,165.207,165.207,165.207
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,155.482,155.482,0.0,155.482,155.482,155.482,155.482
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,160.493,160.493,0.0,160.493,160.493,160.493,160.493
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,160.097,160.097,0.0,160.097,160.097,160.097,160.097
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.634,165.634,0.0,165.634,165.634,165.634,165.634
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.558,165.558,0.0,165.558,165.558,165.558,165.558
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,165.588,165.588,0.0,165.588,165.588,165.588,165.588
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,164.111,164.111,0.0,164.111,164.111,164.111,164.111
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.555,165.555,0.0,165.555,165.555,165.555,165.555
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,163.248,163.248,0.0,163.248,163.248,163.248,163.248
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.647,165.647,0.0,165.647,165.647,165.647,165.647
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,99.953,99.953,0.0,99.953,99.953,99.953,99.953
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.671,165.671,0.0,165.671,165.671,165.671,165.671
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.551,165.551,0.0,165.551,165.551,165.551,165.551
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,135.042,135.042,0.0,135.042,135.042,135.042,135.042
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.47,165.47,0.0,165.47,165.47,165.47,165.47
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,165.443,165.443,0.0,165.443,165.443,165.443,165.443
