configuration,attenuation (dB),packet size (B),mean (dB),median (dB),std (dB),min (dB),max (dB),q1 (dB),q3 (dB)
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,16,24.155,23.1,3.396,12.7,35.5,21.475,27.0
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,512,24.451,24.3,2.321,18.75,32.1,23.2,26.1
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,1436,23.321,21.9,2.941,17.85,34.5,21.125,25.4
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,16,23.719,25.0,3.227,12.267,34.8,21.6,26.0
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,512,23.168,22.3,2.797,12.85,31.8,21.3,25.8
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,10,1436,23.481,24.6,3.053,12.75,31.5,21.2,25.825
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,16,19.109,19.5,1.778,11.25,24.0,19.3,19.6
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,512,19.066,19.5,1.766,11.6,23.95,19.3,19.7
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,20,1436,18.456,19.4,2.187,11.0,24.5,19.1,19.6
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,10.134,10.3,1.065,3.2,15.65,10.1,10.4
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,10.31,10.3,1.537,-1.45,18.95,10.1,10.4
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,10.174,10.3,0.777,2.85,14.2,10.1,10.4
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,16,24.963,25.075,3.175,17.85,33.2,21.7,27.8
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,512,23.448,22.5,2.302,15.05,33.6,21.7,25.275
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,1436,23.943,24.0,1.98,19.7,30.8,22.4,24.5
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,23.141,23.5,2.698,13.8,31.8,21.85,24.5
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,512,22.875,22.0,3.345,13.6,34.0,20.6,25.7
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,1436,22.603,21.8,3.132,13.15,33.0,20.7,25.5
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,16,18.718,19.1,1.745,11.55,23.8,18.9,19.3
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,512,18.803,19.1,1.763,12.1,25.65,19.0,19.3
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,20,1436,18.736,19.2,1.49,11.6,19.8,19.0,19.3
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,16,9.58,9.8,1.414,4.3,18.2,9.6,10.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,512,9.731,9.8,1.362,4.95,17.6,9.7,10.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,30,1436,9.359,9.7,1.208,1.15,11.3,9.5,9.8
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,16,23.597,23.15,2.557,14.35,29.9,21.9,25.55
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,512,24.135,24.3,3.006,16.25,34.1,21.875,25.9
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,1436,24.003,23.9,3.595,11.25,35.7,21.2,26.3
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,16,23.001,22.8,3.225,12.2,31.9,21.3,25.5
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,512,24.474,25.1,3.112,13.65,34.0,22.925,26.15
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,10,1436,24.17,25.4,3.563,8.7,32.55,22.5,26.0
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,16,18.934,19.4,2.523,9.5,27.7,19.1,19.6
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,512,18.936,19.6,2.243,8.65,25.25,19.3,19.8
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,20,1436,18.691,19.5,2.195,8.65,20.2,19.2,19.7
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,16,10.058,10.0,1.864,-2.35,17.35,9.8,10.2
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,512,10.142,10.1,1.517,-0.2,19.2,9.9,10.3
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,30,1436,10.002,10.1,0.892,-0.45,10.7,10.0,10.3
