configuration,attenuation (dB),packet size (B),mean,median,std,min,max,q1,q3
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,16,19.245,19.5,1.259,13.05,23.5,18.6,20.2
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,512,19.634,20.1,1.019,12.55,23.35,19.2,20.2
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,1436,19.954,20.3,1.001,13.1,21.5,19.5,20.6
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,16,10.216,10.5,2.092,4.2,21.4,8.825,12.0
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,512,10.43,11.0,2.108,4.2,13.0,9.0,12.0
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,1436,11.389,12.0,1.709,4.2,13.0,10.2,13.0
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,16,4.208,4.2,0.248,4.2,11.8,4.2,4.2
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,512,4.223,4.2,0.496,4.2,14.85,4.2,4.2
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,1436,4.2,4.2,0.0,4.2,4.2,4.2,4.2
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,16,4.017,4.0,0.371,4.0,14.5,4.0,4.0
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,512,4.0,4.0,0.0,4.0,4.0,4.0,4.0
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,1436,4.0,4.0,0.0,4.0,4.0,4.0,4.0
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,19.441,19.5,1.11,13.2,22.6,18.7,20.3
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,19.666,19.8,1.035,13.4,21.6,19.1,20.4
pb-178-tdd-low-latency-sr-per-1.cfg,0,1436,16.353,16.0,2.928,8.0,21.0,15.0,19.3
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,9.409,10.0,2.456,6.0,17.4,7.0,12.0
pb-178-tdd-low-latency-sr-per-1.cfg,10,512,10.442,10.0,2.148,7.0,17.75,8.0,13.0
pb-178-tdd-low-latency-sr-per-1.cfg,10,1436,5.287,4.2,1.395,4.2,11.8,4.2,6.7
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,1436,23.2,23.2,0.0,23.2,23.2,23.2,23.2
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,16,19.375,19.7,1.501,11.75,22.5,18.3,20.7
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,1436,19.277,19.5,1.024,11.85,21.3,18.8,19.8
