configuration,attenuation (dB),packet size (B),mean (ms),median (ms),std (ms),min (ms),max (ms),q1 (ms),q3 (ms)
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,16,47.306,40.67,24.699,33.794,165.573,38.268,43.288
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,512,38.275,38.797,1.929,33.754,41.649,36.794,39.094
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,1436,39.485,39.225,3.058,33.707,46.214,37.959,40.89
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,16,390.752,368.7,85.65,291.454,720.323,329.3,439.253
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,512,387.885,362.814,106.54,292.048,873.434,328.797,422.867
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,10,1436,358.67,346.996,45.617,307.16,519.444,322.1,385.671
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,16,905.257,850.632,214.607,819.812,2004.074,841.062,864.552
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,512,850.71,842.079,27.664,815.992,939.327,835.298,857.301
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,20,1436,888.382,882.182,31.08,850.976,1013.43,875.968,891.724
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,16,7304.601,6820.086,1321.142,5691.482,11200.498,6338.484,7595.685
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,512,5884.204,5861.917,1362.291,2726.73,8753.224,4803.472,6686.119
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,30,1436,7394.272,7257.122,1833.406,4239.275,12405.97,6035.548,8081.605
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,39.316,39.088,3.593,32.684,47.825,37.192,41.207
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,38.23,37.811,3.656,30.9,49.044,35.802,40.893
