configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,35.45,35.45,0.0,35.45,35.45,35.45,35.45
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,34.666,34.666,0.0,34.666,34.666,34.666,34.666
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,35.725,35.725,0.0,35.725,35.725,35.725,35.725
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,35.816,35.816,0.0,35.816,35.816,35.816,35.816
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,35.818,35.818,0.0,35.818,35.818,35.818,35.818
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,35.817,35.817,0.0,35.817,35.817,35.817,35.817
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,35.256,35.256,0.0,35.256,35.256,35.256,35.256
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,34.989,34.989,0.0,34.989,34.989,34.989,34.989
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,39.249,39.249,0.0,39.249,39.249,39.249,39.249
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,40.166,40.166,0.0,40.166,40.166,40.166,40.166
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,49.527,49.527,0.0,49.527,49.527,49.527,49.527
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,48.928,48.928,0.0,48.928,48.928,48.928,48.928
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,56.856,56.856,0.0,56.856,56.856,56.856,56.856
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,56.915,56.915,0.0,56.915,56.915,56.915,56.915
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,56.036,56.036,0.0,56.036,56.036,56.036,56.036
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,62.666,62.666,0.0,62.666,62.666,62.666,62.666
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,35.725,35.725,0.0,35.725,35.725,35.725,35.725
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,35.726,35.726,0.0,35.726,35.726,35.726,35.726
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,40.894,40.894,0.0,40.894,40.894,40.894,40.894
pb-178-tdd-low-latency-sr-per-1.cfg,10,16,35.817,35.817,0.0,35.817,35.817,35.817,35.817
