configuration,attenuation (dB),packet size (B),mean,median,std,min,max,q1,q3
pb-178-tdd-low-latency-rx-to-tx-lat-1.cfg,0,56,24.088,24.0,1.714,14.0,27.0,23.9,25.4
pb-178-tdd-low-latency-rx-to-tx-lat-2.cfg,0,56,24.97,24.6,1.545,16.55,27.5,24.2,26.4
pb-178-tdd-low-latency.cfg,0,56,24.08,24.4,1.634,16.6,27.0,23.5,24.8
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,56,25.227,25.1,1.387,16.6,27.0,24.3,26.3
pb-178-tdd-low-latency-sr-per-1.cfg,0,56,25.599,25.9,1.242,16.55,27.5,25.4,26.0
pb-178-tdd-low-latency-prach-160.cfg,0,56,24.953,25.4,1.631,15.8,27.15,23.3,26.3
pb-178-ul-highTp-autoCSI-noTRS-prach-128.cfg,0,56,24.095,24.0,1.283,16.5,26.3,23.5,24.5
pb-178-ul-highTp-autoCSI-noTRS.cfg,0,56,24.33,24.1,1.498,15.45,26.8,24.0,25.5
pb-178-ul-highTp-autoCSI-TRSonSSB-20.cfg,0,56,25.95,26.1,1.149,16.6,27.05,26.1,26.1
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,24.551,24.1,1.398,16.05,27.0,24.0,26.0
pb-178-tdd-low-latency-no-rx-to-tx-lat.cfg,0,56,23.593,24.0,1.957,13.65,26.6,23.7,24.2
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,56,23.48,24.0,2.658,10.967,27.0,22.812,26.0
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,56,24.858,25.9,1.652,13.55,26.7,24.0,26.0
pb-178-tdd-low-latency-20.cfg,0,56,25.985,26.1,0.843,17.0,26.9,26.0,26.1
pb-178-ul-highTp-autoCSI-noTRS-20.cfg,0,56,25.974,26.1,1.032,17.05,26.55,26.1,26.1
