configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-20.cfg,0,56,39.7,39.671,39.645,39.764
pb-178-tdd-low-latency-no-rx-to-tx-lat.cfg,0,56,121.212,123.878,118.232,125.867
pb-178-tdd-low-latency-prach-160.cfg,0,56,130.701,131.572,126.01,136.46
pb-178-tdd-low-latency-rx-to-tx-lat-1.cfg,0,56,124.595,124.684,122.956,129.215
pb-178-tdd-low-latency-rx-to-tx-lat-2.cfg,0,56,129.927,129.27,125.537,134.644
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,56,130.793,131.538,126.283,134.892
pb-178-tdd-low-latency-sr-per-1.cfg,0,56,132.723,134.058,132.503,135.387
pb-178-tdd-low-latency.cfg,0,56,124.729,126.572,119.972,128.638
pb-178-ul-highTp-autoCSI-TRSonSSB-20.cfg,0,56,65.923,66.032,65.878,66.111
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,227.936,225.184,222.974,233.942
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,56,231.411,240.674,224.819,241.154
pb-178-ul-highTp-autoCSI-noTRS-20.cfg,0,56,65.884,65.988,65.918,66.059
pb-178-ul-highTp-autoCSI-noTRS-prach-128.cfg,0,56,215.813,215.516,211.88,220.534
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,56,218.846,222.849,211.017,240.951
pb-178-ul-highTp-autoCSI-noTRS.cfg,0,56,220.245,219.522,217.537,225.684
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,56,218.793,217.2,204.099,230.605
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1.cfg,0,56,201.584,195.546,190.479,213.577
pb-178-ul-highTp-defCSI-20.cfg,0,56,51.839,51.848,51.712,51.994
pb-178-ul-highTp-defCSI-no-trs.cfg,0,56,161.372,160.699,154.443,165.485
pb-178-ul-highTp-defCSI-prach-128.cfg,0,56,167.423,163.025,159.86,174.914
pb-178-ul-highTp-defCSI-rx-to-tx-lat-2.cfg,0,56,166.459,166.276,150.026,181.67
pb-178-ul-highTp-defCSI-rx-to-tx-lat-4.cfg,0,56,168.577,166.532,160.877,179.745
pb-178-ul-highTp-defCSI-sr-per-1.cfg,0,56,164.682,164.582,155.953,173.914
pb-178-ul-highTp-defCSI.cfg,0,56,169.55,169.06,163.368,179.448
