PING 192.168.123.2 (192.168.123.2) 16(44) bytes of data.
24 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=222 ms
24 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=226 ms
24 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=218 ms
24 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=232 ms
24 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=230 ms
24 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=227 ms
24 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=226 ms
24 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=217 ms
24 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=125 ms
24 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=227 ms
24 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=216 ms
24 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=225 ms
24 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=223 ms
24 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=220 ms
24 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=225 ms
24 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=217 ms
24 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=224 ms
24 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=218 ms
24 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=217 ms
24 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=214 ms
24 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=216 ms
24 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=215 ms
24 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=216 ms
24 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=215 ms
24 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=128 ms
24 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=247 ms
24 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=218 ms
24 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=213 ms
24 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=211 ms
24 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=212 ms
24 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=224 ms
24 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=223 ms
24 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=221 ms
24 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=220 ms
24 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=218 ms
24 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=224 ms
24 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=216 ms
24 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=215 ms
24 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=224 ms
24 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=222 ms
24 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=219 ms
24 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=221 ms
24 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=219 ms
24 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=222 ms
24 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=233 ms
24 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=211 ms
24 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=226 ms
24 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=220 ms
24 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=217 ms
24 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=224 ms
24 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=220 ms
24 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=220 ms
24 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=220 ms
24 bytes from 192.168.123.2: icmp_seq=73 ttl=64 time=222 ms
24 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=218 ms
24 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=222 ms
24 bytes from 192.168.123.2: icmp_seq=77 ttl=64 time=220 ms
24 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=223 ms
24 bytes from 192.168.123.2: icmp_seq=79 ttl=64 time=230 ms
24 bytes from 192.168.123.2: icmp_seq=80 ttl=64 time=213 ms
24 bytes from 192.168.123.2: icmp_seq=83 ttl=64 time=224 ms
24 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=218 ms
24 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=222 ms
24 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=220 ms
24 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=227 ms
24 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=221 ms
24 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=217 ms
24 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=212 ms
24 bytes from 192.168.123.2: icmp_seq=93 ttl=64 time=217 ms
24 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=219 ms
24 bytes from 192.168.123.2: icmp_seq=95 ttl=64 time=126 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 71 received, 29% packet loss, time 19962ms
rtt min/avg/max/mdev = 124.691/216.510/246.691/19.853 ms, pipe 2
