PING 192.168.123.2 (192.168.123.2) 1436(1464) bytes of data.
1444 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=303 ms
1444 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=285 ms
1444 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=307 ms
1444 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=312 ms
1444 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=294 ms
1444 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=301 ms
1444 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=303 ms
1444 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=309 ms
1444 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=309 ms
1444 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=313 ms
1444 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=298 ms
1444 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=303 ms
1444 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=306 ms
1444 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=310 ms
1444 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=310 ms
1444 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=314 ms
1444 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=314 ms
1444 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=313 ms
1444 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=318 ms
1444 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=304 ms
1444 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=306 ms
1444 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=307 ms
1444 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=311 ms
1444 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=318 ms
1444 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=304 ms
1444 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=304 ms
1444 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=304 ms
1444 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=171 ms
1444 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=309 ms
1444 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=239 ms
1444 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=244 ms
1444 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=242 ms
1444 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=249 ms
1444 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=237 ms
1444 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=248 ms
1444 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=240 ms
1444 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=238 ms
1444 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=248 ms
1444 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=246 ms
1444 bytes from 192.168.123.2: icmp_seq=73 ttl=64 time=242 ms
1444 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=239 ms
1444 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=250 ms
1444 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=260 ms
1444 bytes from 192.168.123.2: icmp_seq=79 ttl=64 time=271 ms
1444 bytes from 192.168.123.2: icmp_seq=80 ttl=64 time=266 ms
1444 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=260 ms
1444 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=265 ms
1444 bytes from 192.168.123.2: icmp_seq=86 ttl=64 time=261 ms
1444 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=260 ms
1444 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=268 ms
1444 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=263 ms
1444 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=244 ms
1444 bytes from 192.168.123.2: icmp_seq=95 ttl=64 time=254 ms
1444 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=268 ms
1444 bytes from 192.168.123.2: icmp_seq=97 ttl=64 time=260 ms
1444 bytes from 192.168.123.2: icmp_seq=100 ttl=64 time=165 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 56 received, 44% packet loss, time 19973ms
rtt min/avg/max/mdev = 165.316/276.515/318.380/35.011 ms, pipe 2
