PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=326 ms
520 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=82.3 ms
520 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=25.5 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=312 ms
520 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=126 ms
520 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=64.3 ms
520 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=41.8 ms
520 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=332 ms
520 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=87.0 ms
520 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=22.5 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=36.1 ms
520 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=25.9 ms
520 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=17.2 ms
520 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=21.9 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=350 ms
520 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=99.0 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=38.3 ms
520 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=38.1 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=13.6 ms
520 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=33.1 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=326 ms
520 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=73.6 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=34.6 ms
520 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=17.0 ms
520 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=317 ms
520 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=122 ms
520 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=56.0 ms
520 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=33.7 ms
520 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=12.3 ms
520 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=20.0 ms
520 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=19.1 ms
520 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=108 ms
520 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=46.4 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=31.7 ms
520 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=36.6 ms
520 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=27.5 ms
520 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=17.1 ms
520 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=13.6 ms
