PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=288 ms
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=298 ms
520 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=291 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=294 ms
520 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=293 ms
520 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=294 ms
520 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=298 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=294 ms
520 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=295 ms
520 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=294 ms
520 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=298 ms
520 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=284 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=293 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=293 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=299 ms
520 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=324 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=331 ms
520 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=292 ms
520 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=294 ms
520 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=317 ms
520 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=287 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=306 ms
520 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=288 ms
520 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=314 ms
520 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=291 ms
520 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=326 ms
520 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=325 ms
520 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=320 ms
520 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=304 ms
520 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=296 ms
520 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=302 ms
520 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=292 ms
520 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=311 ms
520 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=333 ms
520 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=324 ms
520 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=324 ms
520 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=335 ms
520 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=332 ms
520 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=323 ms
520 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=332 ms
520 bytes from 192.168.123.2: icmp_seq=73 ttl=64 time=342 ms
520 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=303 ms
520 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=278 ms
520 bytes from 192.168.123.2: icmp_seq=80 ttl=64 time=296 ms
520 bytes from 192.168.123.2: icmp_seq=81 ttl=64 time=272 ms
520 bytes from 192.168.123.2: icmp_seq=82 ttl=64 time=258 ms
520 bytes from 192.168.123.2: icmp_seq=83 ttl=64 time=259 ms
520 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=264 ms
520 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=251 ms
520 bytes from 192.168.123.2: icmp_seq=86 ttl=64 time=270 ms
520 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=266 ms
520 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=274 ms
520 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=274 ms
520 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=297 ms
520 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=264 ms
520 bytes from 192.168.123.2: icmp_seq=93 ttl=64 time=273 ms
520 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=287 ms
520 bytes from 192.168.123.2: icmp_seq=97 ttl=64 time=291 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 58 received, 42% packet loss, time 19963ms
rtt min/avg/max/mdev = 251.057/297.307/342.164/21.462 ms, pipe 2
