PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=69.8 ms
520 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=336 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=62.7 ms
520 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=21.7 ms
520 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=17.1 ms
520 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=92.0 ms
520 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=10.5 ms
520 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=81.9 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=23.6 ms
520 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=28.4 ms
520 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=355 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=80.0 ms
520 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=345 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=70.2 ms
520 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=16.3 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=337 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=69.6 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=12.8 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=84.9 ms
520 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=337 ms
520 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=65.2 ms
520 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=314 ms
520 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=44.6 ms
520 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=302 ms
520 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=15.8 ms
520 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=38.1 ms
520 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=302 ms
520 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=15.8 ms
520 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=284 ms
520 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=96.3 ms
520 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=28.1 ms
520 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=326 ms
520 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=42.5 ms
520 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=327 ms
520 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=44.6 ms
520 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=16.6 ms
520 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=30.9 ms
520 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=319 ms
520 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=33.7 ms
520 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=11.4 ms
