PING 192.168.123.2 (192.168.123.2) 16(44) bytes of data.
24 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=476 ms
24 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=480 ms
24 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=466 ms
24 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=472 ms
24 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=471 ms
24 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=460 ms
24 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=457 ms
24 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=476 ms
24 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=462 ms
24 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=477 ms
24 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=462 ms
24 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=373 ms
24 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=318 ms
24 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=284 ms
24 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=290 ms
24 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=282 ms
24 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=289 ms
24 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=282 ms
24 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=286 ms
24 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=284 ms
24 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=283 ms
24 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=561 ms
24 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=358 ms
24 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=279 ms
24 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=284 ms
24 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=283 ms
24 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=290 ms
24 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=283 ms
24 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=292 ms
24 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=283 ms
24 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=291 ms
24 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=284 ms
24 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=296 ms
24 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=285 ms
24 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=288 ms
24 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=286 ms
24 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=284 ms
24 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=293 ms
24 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=289 ms
24 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=280 ms
24 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=279 ms
24 bytes from 192.168.123.2: icmp_seq=64 ttl=64 time=279 ms
24 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=282 ms
24 bytes from 192.168.123.2: icmp_seq=67 ttl=64 time=282 ms
24 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=274 ms
24 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=287 ms
24 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=288 ms
24 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=280 ms
24 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=288 ms
24 bytes from 192.168.123.2: icmp_seq=77 ttl=64 time=294 ms
24 bytes from 192.168.123.2: icmp_seq=79 ttl=64 time=281 ms
24 bytes from 192.168.123.2: icmp_seq=80 ttl=64 time=288 ms
24 bytes from 192.168.123.2: icmp_seq=81 ttl=64 time=286 ms
24 bytes from 192.168.123.2: icmp_seq=82 ttl=64 time=289 ms
24 bytes from 192.168.123.2: icmp_seq=83 ttl=64 time=290 ms
24 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=168 ms
24 bytes from 192.168.123.2: icmp_seq=86 ttl=64 time=279 ms
24 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=288 ms
24 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=289 ms
24 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=282 ms
24 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=281 ms
24 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=292 ms
24 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=281 ms
24 bytes from 192.168.123.2: icmp_seq=95 ttl=64 time=289 ms
24 bytes from 192.168.123.2: icmp_seq=97 ttl=64 time=285 ms
24 bytes from 192.168.123.2: icmp_seq=100 ttl=64 time=281 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 66 received, 34% packet loss, time 19946ms
rtt min/avg/max/mdev = 168.248/321.300/561.278/77.042 ms, pipe 3
