PING 192.168.123.2 (192.168.123.2) 1436(1464) bytes of data.
1444 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=225 ms
1444 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=224 ms
1444 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=122 ms
1444 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=214 ms
1444 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=215 ms
1444 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=217 ms
1444 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=215 ms
1444 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=213 ms
1444 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=215 ms
1444 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=209 ms
1444 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=214 ms
1444 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=212 ms
1444 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=237 ms
1444 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=227 ms
1444 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=225 ms
1444 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=221 ms
1444 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=220 ms
1444 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=217 ms
1444 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=223 ms
1444 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=213 ms
1444 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=221 ms
1444 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=125 ms
1444 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=214 ms
1444 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=222 ms
1444 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=225 ms
1444 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=228 ms
1444 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=220 ms
1444 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=227 ms
1444 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=228 ms
1444 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=212 ms
1444 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=245 ms
1444 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=221 ms
1444 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=220 ms
1444 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=218 ms
1444 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=225 ms
1444 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=225 ms
1444 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=219 ms
1444 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=209 ms
1444 bytes from 192.168.123.2: icmp_seq=73 ttl=64 time=222 ms
1444 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=225 ms
1444 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=230 ms
1444 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=216 ms
1444 bytes from 192.168.123.2: icmp_seq=80 ttl=64 time=214 ms
1444 bytes from 192.168.123.2: icmp_seq=81 ttl=64 time=125 ms
1444 bytes from 192.168.123.2: icmp_seq=82 ttl=64 time=217 ms
1444 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=216 ms
1444 bytes from 192.168.123.2: icmp_seq=86 ttl=64 time=217 ms
1444 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=210 ms
1444 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=223 ms
1444 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=214 ms
1444 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=217 ms
1444 bytes from 192.168.123.2: icmp_seq=95 ttl=64 time=227 ms
1444 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=221 ms
1444 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=217 ms
1444 bytes from 192.168.123.2: icmp_seq=99 ttl=64 time=225 ms
1444 bytes from 192.168.123.2: icmp_seq=100 ttl=64 time=240 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 56 received, 44% packet loss, time 19987ms
rtt min/avg/max/mdev = 121.513/215.220/245.084/22.890 ms, pipe 2
