PING 192.168.123.2 (192.168.123.2) 1436(1464) bytes of data.
1444 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=297 ms
1444 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=328 ms
1444 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=307 ms
1444 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=297 ms
1444 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=300 ms
1444 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=299 ms
1444 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=320 ms
1444 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=309 ms
1444 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=300 ms
1444 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=327 ms
1444 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=298 ms
1444 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=319 ms
1444 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=326 ms
1444 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=305 ms
1444 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=312 ms
1444 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=299 ms
1444 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=318 ms
1444 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=299 ms
1444 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=295 ms
1444 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=296 ms
1444 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=309 ms
1444 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=336 ms
1444 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=292 ms
1444 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=301 ms
1444 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=324 ms
1444 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=306 ms
1444 bytes from 192.168.123.2: icmp_seq=64 ttl=64 time=303 ms
1444 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=323 ms
1444 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=318 ms
1444 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=296 ms
1444 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=299 ms
1444 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=323 ms
1444 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=296 ms
1444 bytes from 192.168.123.2: icmp_seq=82 ttl=64 time=299 ms
1444 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=298 ms
1444 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=303 ms
1444 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=328 ms
1444 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=319 ms
1444 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=303 ms
1444 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=307 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 40 received, 60% packet loss, time 20024ms
rtt min/avg/max/mdev = 292.186/308.307/336.048/11.688 ms, pipe 2
