PING 192.168.123.2 (192.168.123.2) 16(44) bytes of data.
24 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=46.7 ms
24 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=10.3 ms
24 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=335 ms
24 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=54.6 ms
24 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=326 ms
24 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=48.1 ms
24 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=18.2 ms
24 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=72.5 ms
24 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=29.7 ms
24 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=325 ms
24 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=47.7 ms
24 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=17.1 ms
24 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=31.6 ms
24 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=28.0 ms
24 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=88.9 ms
24 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=23.7 ms
24 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=319 ms
24 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=35.9 ms
24 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=28.8 ms
24 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=22.5 ms
24 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=80.6 ms
24 bytes from 192.168.123.2: icmp_seq=33 ttl=64 time=13.8 ms
24 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=26.7 ms
24 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=95.6 ms
24 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=25.4 ms
24 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=88.1 ms
24 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=23.0 ms
24 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=89.4 ms
24 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=21.7 ms
24 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=19.0 ms
