PING 192.168.123.2 (192.168.123.2) 1436(1464) bytes of data.
1444 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=295 ms
1444 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=304 ms
1444 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=277 ms
1444 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=278 ms
1444 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=287 ms
1444 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=292 ms
1444 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=266 ms
1444 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=289 ms
1444 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=278 ms
1444 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=273 ms
1444 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=275 ms
1444 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=295 ms
1444 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=282 ms
1444 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=271 ms
1444 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=271 ms
1444 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=272 ms
1444 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=271 ms
1444 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=268 ms
1444 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=273 ms
1444 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=266 ms
1444 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=268 ms
1444 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=271 ms
1444 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=272 ms
1444 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=275 ms
1444 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=301 ms
1444 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=303 ms
1444 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=274 ms
1444 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=278 ms
1444 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=278 ms
1444 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=296 ms
1444 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=301 ms
1444 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=295 ms
1444 bytes from 192.168.123.2: icmp_seq=73 ttl=64 time=293 ms
1444 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=273 ms
1444 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=288 ms
1444 bytes from 192.168.123.2: icmp_seq=77 ttl=64 time=287 ms
1444 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=296 ms
1444 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=285 ms
1444 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=277 ms
1444 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=269 ms
1444 bytes from 192.168.123.2: icmp_seq=95 ttl=64 time=289 ms
1444 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=273 ms
1444 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=274 ms
1444 bytes from 192.168.123.2: icmp_seq=99 ttl=64 time=274 ms
1444 bytes from 192.168.123.2: icmp_seq=100 ttl=64 time=280 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 45 received, 55% packet loss, time 20025ms
rtt min/avg/max/mdev = 265.575/281.191/304.335/10.993 ms, pipe 2
