PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=286 ms
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=300 ms
520 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=282 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=290 ms
520 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=298 ms
520 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=302 ms
520 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=289 ms
520 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=280 ms
520 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=284 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=299 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=286 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=290 ms
520 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=305 ms
520 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=291 ms
520 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=279 ms
520 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=282 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=297 ms
520 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=294 ms
520 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=301 ms
520 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=292 ms
520 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=289 ms
520 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=278 ms
520 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=286 ms
520 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=473 ms
520 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=289 ms
520 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=289 ms
520 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=297 ms
520 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=282 ms
520 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=290 ms
520 bytes from 192.168.123.2: icmp_seq=64 ttl=64 time=297 ms
520 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=289 ms
520 bytes from 192.168.123.2: icmp_seq=67 ttl=64 time=302 ms
520 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=299 ms
520 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=294 ms
520 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=289 ms
520 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=288 ms
520 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=301 ms
520 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=287 ms
520 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=279 ms
520 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=299 ms
520 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=280 ms
520 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=283 ms
520 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=295 ms
520 bytes from 192.168.123.2: icmp_seq=100 ttl=64 time=304 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 44 received, 56% packet loss, time 20027ms
rtt min/avg/max/mdev = 277.721/295.051/472.631/28.085 ms, pipe 3
