configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,79.538,79.538,0.0,79.538,79.538,79.538,79.538
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,79.41,79.41,0.0,79.41,79.41,79.41,79.41
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,80.94,80.94,0.0,80.94,80.94,80.94,80.94
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,81.219,81.219,0.0,81.219,81.219,81.219,81.219
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,78.53,78.53,0.0,78.53,78.53,78.53,78.53
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,80.74,80.74,0.0,80.74,80.74,80.74,80.74
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,83.361,83.361,0.0,83.361,83.361,83.361,83.361
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,78.521,78.521,0.0,78.521,78.521,78.521,78.521
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,78.32,78.32,0.0,78.32,78.32,78.32,78.32
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,81.613,81.613,0.0,81.613,81.613,81.613,81.613
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,83.859,83.859,0.0,83.859,83.859,83.859,83.859
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,81.661,81.661,0.0,81.661,81.661,81.661,81.661
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,80.816,80.816,0.0,80.816,80.816,80.816,80.816
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,84.414,84.414,0.0,84.414,84.414,84.414,84.414
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,83.203,83.203,0.0,83.203,83.203,83.203,83.203
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,10,16,83.482,83.482,0.0,83.482,83.482,83.482,83.482
