PING 192.168.123.2 (192.168.123.2) 1436(1464) bytes of data.
1444 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=395 ms
1444 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=418 ms
1444 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=383 ms
1444 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=397 ms
1444 bytes from 192.168.123.2: icmp_seq=6 ttl=64 time=345 ms
1444 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=392 ms
1444 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=422 ms
1444 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=416 ms
1444 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=433 ms
1444 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=423 ms
1444 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=418 ms
1444 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=412 ms
1444 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=401 ms
1444 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=428 ms
1444 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=450 ms
1444 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=444 ms
1444 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=441 ms
1444 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=368 ms
1444 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=341 ms
1444 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=335 ms
1444 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=336 ms
1444 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=335 ms
1444 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=333 ms
1444 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=335 ms
1444 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=339 ms
1444 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=336 ms
1444 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=345 ms
1444 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=362 ms
1444 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=336 ms
1444 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=332 ms
1444 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=331 ms
1444 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=331 ms
1444 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=334 ms
1444 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=331 ms
1444 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=331 ms
1444 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=330 ms
1444 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=330 ms
1444 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=329 ms
1444 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=327 ms
1444 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=327 ms
1444 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=326 ms
1444 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=326 ms
1444 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=322 ms
1444 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=324 ms
1444 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=321 ms
1444 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=341 ms
1444 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=361 ms
1444 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=317 ms
1444 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=311 ms
