PING 192.168.123.2 (192.168.123.2) 16(44) bytes of data.
24 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=550 ms
24 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=581 ms
24 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=572 ms
24 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=545 ms
24 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=526 ms
24 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=578 ms
24 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=529 ms
24 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=541 ms
24 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=522 ms
24 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=514 ms
24 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=564 ms
24 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=517 ms
24 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=512 ms
24 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=519 ms
24 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=508 ms
24 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=548 ms
24 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=510 ms
24 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=497 ms
24 bytes from 192.168.123.2: icmp_seq=34 ttl=64 time=535 ms
24 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=527 ms
24 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=532 ms
24 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=541 ms
24 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=533 ms
24 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=530 ms
24 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=539 ms
24 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=552 ms
24 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=558 ms
24 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=541 ms
24 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=556 ms
24 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=553 ms
24 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=565 ms
24 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=576 ms
24 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=570 ms
24 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=574 ms
24 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=607 ms
24 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=536 ms
24 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=587 ms
24 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=517 ms
24 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=512 ms
24 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=521 ms
24 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=515 ms
24 bytes from 192.168.123.2: icmp_seq=77 ttl=64 time=525 ms
24 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=517 ms
24 bytes from 192.168.123.2: icmp_seq=79 ttl=64 time=562 ms
24 bytes from 192.168.123.2: icmp_seq=80 ttl=64 time=520 ms
24 bytes from 192.168.123.2: icmp_seq=81 ttl=64 time=504 ms
24 bytes from 192.168.123.2: icmp_seq=82 ttl=64 time=503 ms
24 bytes from 192.168.123.2: icmp_seq=84 ttl=64 time=517 ms
24 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=515 ms
24 bytes from 192.168.123.2: icmp_seq=87 ttl=64 time=544 ms
24 bytes from 192.168.123.2: icmp_seq=88 ttl=64 time=533 ms
24 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=557 ms
24 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=554 ms
24 bytes from 192.168.123.2: icmp_seq=91 ttl=64 time=551 ms
24 bytes from 192.168.123.2: icmp_seq=92 ttl=64 time=542 ms
24 bytes from 192.168.123.2: icmp_seq=94 ttl=64 time=572 ms
24 bytes from 192.168.123.2: icmp_seq=95 ttl=64 time=567 ms
24 bytes from 192.168.123.2: icmp_seq=96 ttl=64 time=565 ms
24 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=603 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 59 received, 41% packet loss, time 19982ms
rtt min/avg/max/mdev = 496.798/541.603/607.252/25.586 ms, pipe 3
