PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=15.2 ms
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=346 ms
520 bytes from 192.168.123.2: icmp_seq=3 ttl=64 time=238 ms
520 bytes from 192.168.123.2: icmp_seq=4 ttl=64 time=90.6 ms
520 bytes from 192.168.123.2: icmp_seq=5 ttl=64 time=321 ms
520 bytes from 192.168.123.2: icmp_seq=7 ttl=64 time=34.7 ms
520 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=261 ms
520 bytes from 192.168.123.2: icmp_seq=9 ttl=64 time=75.8 ms
520 bytes from 192.168.123.2: icmp_seq=10 ttl=64 time=29.6 ms
520 bytes from 192.168.123.2: icmp_seq=11 ttl=64 time=28.6 ms
520 bytes from 192.168.123.2: icmp_seq=12 ttl=64 time=27.6 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=26.7 ms
520 bytes from 192.168.123.2: icmp_seq=14 ttl=64 time=25.7 ms
520 bytes from 192.168.123.2: icmp_seq=15 ttl=64 time=24.5 ms
520 bytes from 192.168.123.2: icmp_seq=16 ttl=64 time=23.5 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=22.8 ms
520 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=21.5 ms
520 bytes from 192.168.123.2: icmp_seq=19 ttl=64 time=20.4 ms
520 bytes from 192.168.123.2: icmp_seq=20 ttl=64 time=19.9 ms
520 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=19.5 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=18.1 ms
520 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=41.1 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=40.0 ms
520 bytes from 192.168.123.2: icmp_seq=25 ttl=64 time=37.0 ms
520 bytes from 192.168.123.2: icmp_seq=26 ttl=64 time=39.5 ms
520 bytes from 192.168.123.2: icmp_seq=27 ttl=64 time=38.5 ms
