PING 192.168.123.2 (192.168.123.2) 512(540) bytes of data.
520 bytes from 192.168.123.2: icmp_seq=1 ttl=64 time=547 ms
520 bytes from 192.168.123.2: icmp_seq=2 ttl=64 time=575 ms
520 bytes from 192.168.123.2: icmp_seq=8 ttl=64 time=571 ms
520 bytes from 192.168.123.2: icmp_seq=13 ttl=64 time=580 ms
520 bytes from 192.168.123.2: icmp_seq=17 ttl=64 time=546 ms
520 bytes from 192.168.123.2: icmp_seq=18 ttl=64 time=562 ms
520 bytes from 192.168.123.2: icmp_seq=21 ttl=64 time=547 ms
520 bytes from 192.168.123.2: icmp_seq=22 ttl=64 time=533 ms
520 bytes from 192.168.123.2: icmp_seq=23 ttl=64 time=534 ms
520 bytes from 192.168.123.2: icmp_seq=24 ttl=64 time=553 ms
520 bytes from 192.168.123.2: icmp_seq=28 ttl=64 time=531 ms
520 bytes from 192.168.123.2: icmp_seq=29 ttl=64 time=526 ms
520 bytes from 192.168.123.2: icmp_seq=30 ttl=64 time=521 ms
520 bytes from 192.168.123.2: icmp_seq=31 ttl=64 time=525 ms
520 bytes from 192.168.123.2: icmp_seq=32 ttl=64 time=537 ms
520 bytes from 192.168.123.2: icmp_seq=35 ttl=64 time=537 ms
520 bytes from 192.168.123.2: icmp_seq=36 ttl=64 time=536 ms
520 bytes from 192.168.123.2: icmp_seq=37 ttl=64 time=515 ms
520 bytes from 192.168.123.2: icmp_seq=38 ttl=64 time=511 ms
520 bytes from 192.168.123.2: icmp_seq=39 ttl=64 time=505 ms
520 bytes from 192.168.123.2: icmp_seq=40 ttl=64 time=521 ms
520 bytes from 192.168.123.2: icmp_seq=41 ttl=64 time=536 ms
520 bytes from 192.168.123.2: icmp_seq=42 ttl=64 time=530 ms
520 bytes from 192.168.123.2: icmp_seq=43 ttl=64 time=516 ms
520 bytes from 192.168.123.2: icmp_seq=44 ttl=64 time=509 ms
520 bytes from 192.168.123.2: icmp_seq=45 ttl=64 time=508 ms
520 bytes from 192.168.123.2: icmp_seq=46 ttl=64 time=542 ms
520 bytes from 192.168.123.2: icmp_seq=47 ttl=64 time=534 ms
520 bytes from 192.168.123.2: icmp_seq=48 ttl=64 time=531 ms
520 bytes from 192.168.123.2: icmp_seq=49 ttl=64 time=516 ms
520 bytes from 192.168.123.2: icmp_seq=50 ttl=64 time=510 ms
520 bytes from 192.168.123.2: icmp_seq=51 ttl=64 time=505 ms
520 bytes from 192.168.123.2: icmp_seq=52 ttl=64 time=523 ms
520 bytes from 192.168.123.2: icmp_seq=53 ttl=64 time=541 ms
520 bytes from 192.168.123.2: icmp_seq=54 ttl=64 time=530 ms
520 bytes from 192.168.123.2: icmp_seq=55 ttl=64 time=519 ms
520 bytes from 192.168.123.2: icmp_seq=56 ttl=64 time=506 ms
520 bytes from 192.168.123.2: icmp_seq=57 ttl=64 time=497 ms
520 bytes from 192.168.123.2: icmp_seq=58 ttl=64 time=526 ms
520 bytes from 192.168.123.2: icmp_seq=59 ttl=64 time=562 ms
520 bytes from 192.168.123.2: icmp_seq=60 ttl=64 time=561 ms
520 bytes from 192.168.123.2: icmp_seq=61 ttl=64 time=560 ms
520 bytes from 192.168.123.2: icmp_seq=62 ttl=64 time=538 ms
520 bytes from 192.168.123.2: icmp_seq=63 ttl=64 time=521 ms
520 bytes from 192.168.123.2: icmp_seq=64 ttl=64 time=524 ms
520 bytes from 192.168.123.2: icmp_seq=65 ttl=64 time=551 ms
520 bytes from 192.168.123.2: icmp_seq=66 ttl=64 time=557 ms
520 bytes from 192.168.123.2: icmp_seq=67 ttl=64 time=555 ms
520 bytes from 192.168.123.2: icmp_seq=68 ttl=64 time=539 ms
520 bytes from 192.168.123.2: icmp_seq=69 ttl=64 time=532 ms
520 bytes from 192.168.123.2: icmp_seq=70 ttl=64 time=547 ms
520 bytes from 192.168.123.2: icmp_seq=71 ttl=64 time=550 ms
520 bytes from 192.168.123.2: icmp_seq=72 ttl=64 time=581 ms
520 bytes from 192.168.123.2: icmp_seq=73 ttl=64 time=575 ms
520 bytes from 192.168.123.2: icmp_seq=74 ttl=64 time=573 ms
520 bytes from 192.168.123.2: icmp_seq=75 ttl=64 time=558 ms
520 bytes from 192.168.123.2: icmp_seq=76 ttl=64 time=546 ms
520 bytes from 192.168.123.2: icmp_seq=77 ttl=64 time=539 ms
520 bytes from 192.168.123.2: icmp_seq=78 ttl=64 time=582 ms
520 bytes from 192.168.123.2: icmp_seq=79 ttl=64 time=576 ms
520 bytes from 192.168.123.2: icmp_seq=85 ttl=64 time=588 ms
520 bytes from 192.168.123.2: icmp_seq=89 ttl=64 time=571 ms
520 bytes from 192.168.123.2: icmp_seq=90 ttl=64 time=599 ms
520 bytes from 192.168.123.2: icmp_seq=97 ttl=64 time=562 ms
520 bytes from 192.168.123.2: icmp_seq=98 ttl=64 time=534 ms
520 bytes from 192.168.123.2: icmp_seq=99 ttl=64 time=561 ms

--- 192.168.123.2 ping statistics ---
100 packets transmitted, 66 received, 34% packet loss, time 19967ms
rtt min/avg/max/mdev = 496.612/541.409/598.594/23.306 ms, pipe 3
